Locus	ProteinID	uniprot_id	Gene	CDS
b0001	NP_414542.1	P0AD86	thrL	lcl|NC_000913.3_cds_NP_414542.1_1
b0002	NP_414543.1	P00561	thrA	lcl|NC_000913.3_cds_NP_414543.1_2
b0003	NP_414544.1	P00547	thrB	lcl|NC_000913.3_cds_NP_414544.1_3
b0004	NP_414545.1	P00934	thrC	lcl|NC_000913.3_cds_NP_414545.1_4
b0005	NP_414546.1	P75616	yaaX	lcl|NC_000913.3_cds_NP_414546.1_5
b0006	NP_414547.1	P0A8I3	yaaA	lcl|NC_000913.3_cds_NP_414547.1_6
b0007	NP_414548.1	P30143	yaaJ	lcl|NC_000913.3_cds_NP_414548.1_7
b0008	NP_414549.1	P0A870	talB	lcl|NC_000913.3_cds_NP_414549.1_8
b0009	NP_414550.1	P0AF03	mog	lcl|NC_000913.3_cds_NP_414550.1_9
b0010	NP_414551.1	P0AC98	satP	lcl|NC_000913.3_cds_NP_414551.1_10
b0011	NP_414552.1	P75617	yaaW	lcl|NC_000913.3_cds_NP_414552.1_11
b0012	YP_009518733.1	P28697	mbiA	lcl|NC_000913.3_cds_YP_009518733.1_12
b0013	NP_414554.1	P28696	yaaI	lcl|NC_000913.3_cds_NP_414554.1_13
b0014	NP_414555.1	P0A6Y8	dnaK	lcl|NC_000913.3_cds_NP_414555.1_14
b0015	NP_414556.1	P08622	dnaJ	lcl|NC_000913.3_cds_NP_414556.1_15
b0016	NP_414557.1	P0CF91	insL1	lcl|NC_000913.3_cds_NP_414557.1_16
b0018	NP_414559.1	P33236	mokC	lcl|NC_000913.3_cds_NP_414559.1_17
b4412	YP_025292.1	P0ACG4	hokC	lcl|NC_000913.3_cds_YP_025292.1_18
b0019	NP_414560.1	P13738	nhaA	lcl|NC_000913.3_cds_NP_414560.1_19
b0020	NP_414561.1	P0A9G2	nhaR	lcl|NC_000913.3_cds_NP_414561.1_20
b0021	NP_414562.1	P0CF25	insB1	lcl|NC_000913.3_cds_NP_414562.1_21
b0022	NP_414563.1	P0CF07	insA1	lcl|NC_000913.3_cds_NP_414563.1_22
b0023	NP_414564.1	P0A7U7	rpsT	lcl|NC_000913.3_cds_NP_414564.1_23
b0024	NP_414565.1	P75620	yaaY	lcl|NC_000913.3_cds_NP_414565.1_24
b0025	NP_414566.1	P0AG40	ribF	lcl|NC_000913.3_cds_NP_414566.1_25
b0026	NP_414567.1	P00956	ileS	lcl|NC_000913.3_cds_NP_414567.1_26
b0027	NP_414568.1	P00804	lspA	lcl|NC_000913.3_cds_NP_414568.1_27
b0028	NP_414569.1	P0AEM0	fkpB	lcl|NC_000913.3_cds_NP_414569.1_28
b0029	NP_414570.1	P62623	ispH	lcl|NC_000913.3_cds_NP_414570.1_29
b0030	NP_414571.1	P22564	rihC	lcl|NC_000913.3_cds_NP_414571.1_30
b0031	NP_414572.1	P04036	dapB	lcl|NC_000913.3_cds_NP_414572.1_31
b0032	NP_414573.1	P0A6F1	carA	lcl|NC_000913.3_cds_NP_414573.1_32
b0033	NP_414574.1	P00968	carB	lcl|NC_000913.3_cds_NP_414574.1_33
b0034	NP_414576.4	P0AE58	caiF	lcl|NC_000913.3_cds_NP_414576.4_34
b0035	NP_414577.2	P39206	caiE	lcl|NC_000913.3_cds_NP_414577.2_35
b0036	NP_414578.2	P31551	caiD	lcl|NC_000913.3_cds_NP_414578.2_36
b0037	NP_414579.4	P31552	caiC	lcl|NC_000913.3_cds_NP_414579.4_37
b0038	NP_414580.1	P31572	caiB	lcl|NC_000913.3_cds_NP_414580.1_38
